city_norm,edc_type,edc_first_report_year
HASKELL,A,1997
HASLET,A&B,1998
HAWKINS,B,1999
HAWLEY,A&B,1997
HEARNE,A&B,1997
HEATH,A&B,2001
HELOTES,B,2004
HEMPSTEAD,A&B,1997
HENDERSON,A&B,1997
HENRIETTA,B,1997
HEREFORD,A,1997
HICKORY CREEK,B,2005
HICO,B,1997
HIDALGO,A,1997
HIGGINS,B,2010
HIGHLAND VILLAGE,B,2005
HILLSBORO,A,1997
HITCHCOCK,A,1997
HOCKLEY COUNTY,B,2023
HOLLYWOOD PARK,B,2001
HONDO,B,2005
HOOKS,A&B,1997
HORIZON CITY,B,2014
HOWE,A&B,1998
HUBBARD,B,2002
HUDSON,B,2006
HUGHES SPRINGS,B,2001
HUNTINGTON,B,1999
HURST,B,1998
HUTCHINS,B,1997
HUTTO,A&B,1997
IDALOU,B,2009
INDUSTRY,B,2007
INGLESIDE,B,2001
IOWA PARK,A&B,2004
IRAAN,B,2002
ITALY,B,1997
ITASCA,B,1999
JACKSBORO,B,2004
JACKSONVILLE,B,1997
JARRELL,A&B,2006
JASPER,A,1997
JEFFERSON,B,1997
JEWETT,A&B,2001
JOAQUIN,A&B,1999
JOSEPHINE,B,2014
JOSHUA,A&B,2002
JUNCTION,B,1997
JUSTIN,A&B,1997
KARNES CITY,B,1997
KAUFMAN,A,1997
KEENE,A&B,1999
KELLER,B,1997
KEMAH,A&B,1998
KEMP,A&B,1997
KENDLETON,B,2015
KENEDY,B,1998
KENNEDALE,B,1997
KERENS,B,2005
KERRVILLE,B,1997
KILGORE,A,1997
KIRBYVILLE,B,1999
KNOX CITY,A&B,1997
KOSSE,A,2014
KOUNTZE,A,1997
KRUGERVILLE,A&B,2008
KRUM,A&B,2003
LA FERIA,A&B,1997
LA GRANGE,B,1997
LA JOYA,B,1997
LA MARQUE,A,1997
LA PORTE,B,2000
LA VILLA,B,2018
LAGO VISTA,B,2006
LAGUNA VISTA,B,2019
LAKE DALLAS,A&B,2003
LAKE JACKSON,B,1997
LAKE WORTH,B,1998
LAKESIDE,B,2014
LAKEWOOD VILLAGE,B,2010
LAMESA,A&B,1997
LAMPASAS,B,1999
LANCASTER,A&B,1997
LAREDO,B,1998
LAVON,B,2004
LEAGUE CITY,B,1997
LEON VALLEY,B,2009
LEONARD,A&B,1997
LEVELLAND,A&B,1997
LEWISVILLE,B,2003
LEXINGTON,B,2000
LIBERTY,B,1997
LIBERTY HILL,B,2004
